timestamp,host,value
1493337600,h01,1.82
1493337600,h03,1.46
1493337600,h02,1.22
1493337601,s01,0.03
1493337610,h02,1.33
1493337610,h03,1.55
1493337610,h01,1.94
1493337611,s01,0.03
1493337620,h01,2.19
1493337620,h03,1.54
1493337620,h02,1.74
1493337621,s01,0.02
1493337630,h02,1.7
1493337630,h03,1.45
1493337630,h01,2.24
1493337631,s01,0.02
1493337640,h01,1.97
1493337640,h03,1.38
1493337640,h02,1.59
1493337641,s01,0.02
1493337650,h02,1.5
1493337650,h03,1.4
1493337650,h01,1.82
1493337651,s01,0.01
1493337660,h01,1.84
1493337660,h03,1.5
1493337660,h02,1.5
1493337661,s01,0.01
1493337670,h02,1.43
1493337670,h03,1.72
1493337670,h01,1.79
1493337671,s01,0.01
1493337680,h01,1.6
1493337680,h03,1.61
1493337680,h02,1.59
1493337681,s01,0.01
1493337690,h02,1.87
1493337690,h03,1.52
1493337690,h01,1.42
1493337691,s01,0
1493337700,h01,1.65
1493337700,h03,1.43
1493337700,h02,2.45
1493337740,h01,1.37
1493337740,h03,1.53
1493337740,h02,2.13
1493337741,s01,0.16
1493337750,h02,2.33
1493337750,h03,1.69
1493337750,h01,1.39
1493337751,s01,0.13
1493337760,h01,1.33
1493337760,h03,1.66
1493337760,h02,2.2
1493337761,s01,0.11
1493337770,h02,2.02
1493337770,h03,1.87
1493337770,h01,1.21
1493337771,s01,0.1
1493337780,h01,1.17
1493337780,h03,2.5
1493337780,h02,1.94
1493337781,s01,0.08
1493337790,h02,2.16
1493337790,h03,2.35
1493337790,h01,1.15
1493337791,s01,0.07
1493337800,h01,1.12
1493337800,h03,2.21
1493337800,h02,2.29
1493337801,s01,0.06
1493337810,h02,2.48
1493337810,h03,2.03
1493337810,h01,1.1
1493337811,s01,0.05
1493337820,h01,0.93
1493337820,h03,2.03
1493337820,h02,2.62
1493337821,s01,0.04
1493337830,h02,2.37
1493337830,h03,1.95
1493337830,h01,0.87
1493337831,s01,0.03
1493337840,h01,1.04
1493337840,h03,1.88
1493337840,h02,2.31
1493337841,s01,0.03
1493337850,h02,2.26
1493337850,h03,1.59
1493337850,h01,1.34
1493337851,s01,0.02
1493337860,h01,1.53
1493337860,h03,1.64
1493337860,h02,2.22
1493337861,s01,0.02
1493337870,h02,2.1
1493337870,h03,1.39
1493337870,h01,1.61
1493337871,s01,0.02
1493337880,h01,1.59
1493337880,h03,1.42
1493337880,h02,2.01
1493337881,s01,0.01
1493337890,h02,1.93
1493337890,h03,1.28
1493337890,h01,1.5
1493337891,s01,0.01
1493337900,h01,1.42
1493337900,h03,1.24
1493337900,h02,1.92
1493337901,s01,0.01
1493337910,h02,1.92
1493337910,h03,1.2
1493337910,h01,1.51
1493337911,s01,0.01
1493337920,h01,1.28
1493337920,h03,1.17
1493337920,h02,1.63
1493337921,s01,0
1493337930,h02,1.38
1493337930,h03,0.99
1493337930,h01,1.47
1493337931,s01,0
1493337940,h01,1.25
1493337940,h03,1
1493337940,h02,1.16
1493337941,s01,0
1493337950,h02,0.98
1493337950,h03,0.84
1493337950,h01,1.06
1493337951,s01,0
1493337960,h01,1.05
1493337960,h03,0.93
1493337960,h02,0.91
1493337961,s01,0
1493337970,h02,0.77
1493337970,h03,0.79
1493337970,h01,0.89
1493337971,s01,0
1493337980,h01,0.91
1493337980,h03,0.67
1493337980,h02,0.8
1493337981,s01,0
1493337990,h02,0.67
1493337990,h03,0.81
1493337990,h01,0.77
1493337991,s01,0
1493338000,h01,0.73
1493338000,h03,0.68
1493338000,h02,0.64
1493338001,s01,0
1493338010,h02,0.62
1493338010,h03,0.58
1493338010,h01,0.7
1493338011,s01,0
1493338020,h01,0.59
1493338020,h03,0.49
1493338020,h02,0.52
1493338021,s01,0
1493338030,h02,0.44
1493338030,h03,0.57
1493338030,h01,0.66
1493338031,s01,0
1493338040,h01,0.79
1493338040,h03,0.48
1493338040,h02,0.37
1493338041,s01,0
1493338050,h02,0.32
1493338050,h03,0.49
1493338050,h01,0.74
1493338051,s01,0
1493338060,h01,0.63
1493338060,h03,0.41
1493338060,h02,0.27
1493338061,s01,0
1493338070,h02,0.23
1493338070,h03,0.51
1493338070,h01,0.53
1493338071,s01,0.16
1493338080,h01,0.45
1493338080,h03,0.51
1493338080,h02,0.19
1493338081,s01,0.13
1493338090,h02,0.16
1493338090,h03,0.43
1493338090,h01,0.45
1493338091,s01,0.11
1493338100,h01,0.54
1493338100,h03,0.36
1493338100,h02,0.14
1493338101,s01,0.1
1493338110,h02,0.11
1493338110,h03,0.31
1493338110,h01,0.54
1493338111,s01,0.08
1493338120,h01,0.46
1493338120,h03,0.5
1493338120,h02,0.1
1493338121,s01,0.07
1493338130,h02,0.08
1493338130,h03,0.42
1493338130,h01,0.39
1493338131,s01,0.06
1493338140,h01,0.49
1493338140,h03,0.35
1493338140,h02,0.07
1493338141,s01,0.05
1493338150,h02,0.06
1493338150,h03,0.53
1493338150,h01,0.49
1493338151,s01,0.04
1493338160,h01,0.41
1493338160,h03,0.53
1493338160,h02,0.12
1493338161,s01,0.03
1493338170,h02,0.1
1493338170,h03,0.83
1493338170,h01,0.5
1493338171,s01,0.03
1493338180,h01,0.58
1493338180,h03,0.84
1493338180,h02,0.16
1493338181,s01,0.02
1493338190,h02,0.29
1493338190,h03,0.86
1493338190,h01,0.64
1493338191,s01,0.02
1493338200,h01,0.92
1493338200,h03,0.88
1493338200,h02,0.55
1493338201,s01,0.02
1493338210,h02,0.55
1493338210,h03,0.9
1493338210,h01,1.52
1493338211,s01,0.01
1493338220,h01,1.52
1493338220,h03,1.07
1493338220,h02,0.62
1493338221,s01,0.01
1493338230,h02,0.6
1493338230,h03,1.21
1493338230,h01,1.44
1493338231,s01,0.01
1493338240,h01,1.68
1493338240,h03,1.33
1493338240,h02,0.59
1493338241,s01,0.01
1493338250,h02,0.73
1493338250,h03,1.42
1493338250,h01,1.57
1493338251,s01,0
1493338260,h01,1.33
1493338260,h03,1.42
1493338260,h02,0.7
1493338261,s01,0
1493338270,h02,0.59
1493338270,h03,1.2
1493338270,h01,1.2
1493338271,s01,0
1493338280,h01,1.33
1493338280,h03,1.1
1493338280,h02,0.5
1493338281,s01,0
1493338290,h02,0.57
1493338290,h03,1
1493338290,h01,1.74
1493338291,s01,0
1493338300,h01,1.47
1493338300,h03,0.99
1493338300,h02,0.48
1493338301,s01,0
1493338310,h02,0.64
1493338310,h03,1.06
1493338310,h01,1.4
1493338311,s01,0
1493338320,h01,1.18
1493338320,h03,1.05
1493338320,h02,0.7
1493338321,s01,0
1493338330,h02,0.59
1493338330,h03,0.96
1493338330,h01,1.08
1493338331,s01,0
1493338340,h01,0.99
1493338340,h03,0.88
1493338340,h02,0.5
1493338341,s01,0
1493338350,h02,0.5
1493338350,h03,0.97
1493338350,h01,0.83
1493338351,s01,0
1493338360,h01,0.78
1493338360,h03,0.82
1493338360,h02,0.42
1493338361,s01,0
1493338370,h02,1.03
1493338370,h03,0.69
1493338370,h01,0.73
1493338371,s01,0
1493338380,h01,0.7
1493338380,h03,0.59
1493338380,h02,0.95
1493338381,s01,0
1493338390,h02,0.8
1493338390,h03,0.5
1493338390,h01,0.59
1493338391,s01,0
1493338400,h01,0.5
1493338400,h03,0.58
1493338400,h02,0.83
1493338401,s01,0
1493338410,h02,0.94
1493338410,h03,0.56
1493338410,h01,0.42
1493338411,s01,0
1493338420,h01,0.36
1493338420,h03,0.56
1493338420,h02,1.4
1493338421,s01,0.22
1493338430,h02,1.8
1493338430,h03,0.47
1493338430,h01,0.3
1493338431,s01,0.19
1493338440,h01,0.26
1493338440,h03,0.4
1493338440,h02,1.53
1493338441,s01,0.16
1493338450,h02,1.44
1493338450,h03,0.34
1493338450,h01,0.3
1493338451,s01,0.13
1493338460,h01,0.25
1493338460,h03,0.28
1493338460,h02,1.22
1493338461,s01,0.11
1493338470,h02,1.03
1493338470,h03,0.24
1493338470,h01,0.21
1493338471,s01,0.09
1493338480,h01,0.18
1493338480,h03,0.36
1493338480,h02,0.87
1493338481,s01,0.08
1493338490,h02,0.81
1493338490,h03,0.46
1493338490,h01,0.15
1493338491,s01,0.07
1493338500,h01,0.72
1493338500,h03,0.39
1493338500,h02,0.69
1493338501,s01,0.06
1493338510,h02,0.65
1493338510,h03,0.33
1493338510,h01,0.77
1493338511,s01,0.05
1493338520,h01,0.72
1493338520,h03,0.28
1493338520,h02,0.71
1493338521,s01,0.04
1493338530,h02,0.89
1493338530,h03,0.24
1493338530,h01,0.84
1493338531,s01,0.03
1493338540,h01,0.71
1493338540,h03,0.2
1493338540,h02,0.9
1493338541,s01,0.03
1493338550,h02,0.84
1493338550,h03,0.17
1493338550,h01,0.67
1493338551,s01,0.02
1493338560,h01,0.57
1493338560,h03,0.22
1493338560,h02,0.86
1493338561,s01,0.02
1493338570,h02,0.72
1493338570,h03,0.26
1493338570,h01,0.48
1493338571,s01,0.02
1493338580,h01,0.41
1493338580,h03,0.38
1493338580,h02,0.69
1493338581,s01,0.01
1493338590,h02,0.66
1493338590,h03,0.32
1493338590,h01,0.34
1493338591,s01,0.01
1493338600,h01,0.29
1493338600,h03,0.27
1493338600,h02,0.93
1493338601,s01,0.01
1493338610,h02,0.86
1493338610,h03,0.45
1493338610,h01,0.47
1493338611,s01,0.01
1493338620,h01,0.48
1493338620,h03,0.46
1493338620,h02,0.73
1493338621,s01,0
1493338630,h02,0.69
1493338630,h03,0.39
1493338630,h01,0.72
1493338631,s01,0
1493338640,h01,0.61
1493338640,h03,0.49
1493338640,h02,0.66
1493338641,s01,0
1493338650,h02,0.56
1493338650,h03,0.71
1493338650,h01,0.52
1493338651,s01,0
